,Player,height,weight,collage,born,birth_city,birth_state
0,Curly Armstrong,180,77,Indiana University,1918,,
1,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana
2,Leo Barnhorst,193,86,University of Notre Dame,1924,,
3,Ed Bartels,196,88,North Carolina State University,1925,,
4,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky
5,Gene Berce,180,79,Marquette University,1926,,
6,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho
7,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania
8,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey
9,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana
10,Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan
11,Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York
12,Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma
13,Bob Brannum,196,97,Michigan State University,1925,,
14,Carl Braun,196,81,Colgate University,1927,Brooklyn,New York
15,Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana
16,Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas
17,Bob Brown,193,92,Miami University,1923,Versailles,Ohio
18,Jim Browne,208,106,,1930,Midlothian,Illinois
19,Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey
20,Jack Burmaster,190,86,University of Illinois at Urbana-Champaign,1926,,
21,Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey
22,Bill Calhoun,190,81,City College of San Francisco,1927,San Francisco,California
23,Don Carlson,183,77,University of Minnesota,1919,Minneapolis,Minnesota
24,Bob Carpenter,196,90,East Texas State University,1917,,
25,Jake Carter,193,88,East Texas State University,1924,,
26,Al Cervi*,180,77,,1917,Buffalo,New York
27,John Chaney,190,83,Louisiana State University,1920,,
28,Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana
29,Bill Closs,196,88,Rice University,1922,Edge,Texas
30,Paul Cloyd,188,81,University of Wisconsin,1920,,
31,Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky
32,Bobby Cook,178,70,University of Wisconsin,1923,,
33,Ray Corley,183,81,Georgetown University,1928,,
34,Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana
35,Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee
36,Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania
37,Fran Curran,183,79,University of Notre Dame,1922,Sterling,Illinois
38,Jimmy Darden,185,77,University of Denver,1922,,
39,Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania
40,Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia
41,Earl Dodd,196,79,Truman State University,1924,,
42,Joe Dolhon,183,79,New York University,1927,,
43,Bob Doll,196,88,University of Colorado,1919,Steamboat Springs,Colorado
44,Harry Donovan,188,81,Muhlenberg College,1926,Union City,New Jersey
45,Andy Duncan,198,88,College of William & Mary,1922,,
46,Dike Eddleman,190,85,University of Illinois at Urbana-Champaign,1922,Centralia,Illinois
47,Gene Englund,196,92,University of Wisconsin,1917,Kenosha,Wisconsin
48,Bob Evans,188,79,Butler University,1925,Indianapolis,Indiana
49,Johnny Ezersky,190,79,University of Rhode Island,1922,New York,New York
50,Bob Feerick,190,86,Santa Clara University,1920,San Francisco,California
51,George Feigenbaum,185,83,University of Kentucky,1929,,
52,Arnie Ferrin,188,81,University of Utah,1925,Salt Lake City,Utah
53,Jerry Fleishman,188,86,New York University,1922,Brooklyn,New York
54,Joe Fulks*,196,86,Murray State University,1921,Birmingham,Kentucky
55,Bill Gabor,180,77,Syracuse University,1922,,
56,Elmer Gainer,198,88,DePaul University,1918,Chicago,Illinois
57,Harry Gallatin*,198,95,Truman State University,1927,Roxana,Illinois
58,Vern Gardner,196,90,University of Utah,1925,Afton,Wyoming
59,Frank Gates,183,72,Sam Houston State University,1920,,
60,Dee Gibson,180,79,Western Kentucky University,1923,,
61,Hoot Gibson,196,89,Creighton University,1921,,
